From: Contemporary deformation in the Yakima fold and thrust belt estimated
EPHR 240.4553 47.3293 375 -0.02 0.87 -2.32 0.20 0.22 0.79 0.006
F408 243.5511 44.6692 910 -1.78 0.06 -2.68 0.26 0.30 1.05 -0.061
FAAS 243.8807 45.9421 991 -0.89 0.08 -1.76 0.13 0.14 1.18 -0.013
FALL 238.8667 46.6288 879 1.14 2.21 -2.12 0.30 0.18 0.66 0.012
FLOR 242.6454 45.9271 1253 -1.63 0.21 -2.77 1.11 1.12 3.66 0.062
FOSS 239.7796 44.9998 784 -0.61 1.75 -3.52 0.26 0.33 1.21 0.068
FREN 240.3795 46.9630 516 0.09 1.30 -2.66 0.17 0.18 4.17 0.009
FRND 237.3968 48.8920 1 2.50 2.59 -1.22 1.30 1.68 6.02 -0.033
FRRY 241.8454 48.2775 381 -0.52 0.67 -6.14 1.56 2.07 7.20 -0.113
G370 238.7312 48.6737 131 1.49 2.01 -0.28 0.56 0.76 2.83 -0.132
G375 238.3255 48.8653 1234 0.17 0.87 1.70 0.85 1.06 4.12 -0.104
G404 243.6269 46.1419 1092 -0.54 -0.08 -3.36 0.31 0.38 1.30 -0.038
G407 242.7476 45.3491 1247 -1.55 -0.12 -1.57 0.27 0.39 1.15 -0.027
G753 239.4906 44.3531 1073 -2.22 2.11 2.00 0.93 1.16 3.98 0.013
GABL 240.5392 46.5981 309 0.08 0.92 -3.36 0.18 0.20 0.71 0.029
GLDH 237.2133 47.5486 515 3.50 4.13 -3.51 0.43 0.46 1.84 -0.048
GLNW 238.7113 46.0199 567 0.70 2.31 -2.26 0.43 0.44 1.92 0.001
GOBS 239.1853 45.8388 621 -0.08 2.11 -2.26 0.12 0.12 0.57 0.001
GOLY 239.1975 45.8287 500 0.23 1.72 -2.47 0.19 0.20 0.59 0.002
GP17 238.3747 47.1375 536 1.12 2.35 0.90 0.61 0.73 3.15 0.114
GP29 238.4064 48.4861 59 0.08 1.16 4.98 0.63 0.70 3.24 -0.034
GP31 238.3997 48.2552 150 1.38 3.88 -0.40 1.66 2.22 7.77 -0.081
GP37 237.8568 48.9166 114 2.35 1.84 -0.38 0.89 1.12 3.92 -0.100
GRCK 242.3354 48.1436 669 -0.23 0.22 -1.11 0.32 0.32 1.26 0.008
GRN2 237.0798 47.3893 0 2.71 1.04 -9.40 1.06 1.17 4.81 0.042
GRSM 238.2228 48.5385 38 2.45 3.47 -2.30 1.03 1.32 4.67 -0.037
GWEN 238.6724 45.7826 732 0.76 2.64 -2.48 0.24 0.25 0.80 -0.001
GWN5 238.6724 45.7826 732 0.87 2.60 -1.79 0.19 0.19 0.62 0.001
GWN6 238.6727 45.7826 733 0.19 2.28 -2.54 0.21 0.21 0.74 0.003
HACK 237.4718 48.0995 0 1.14 2.62 20.40 0.98 1.01 79.22 0.007
HAFF 237.8238 47.4848 80 1.43 3.46 -1.16 0.69 0.83 9.63 -0.024
HELE 237.1988 45.8569 1 1.80 5.99 3.47 0.37 0.45 3.52 -0.053
HIDA 241.2861 45.1704 1218 -1.44 0.15 -2.45 0.93 0.62 1.70 0.001
HILG 241.7642 45.3311 908 -1.81 1.17 -2.59 0.52 0.61 2.42 0.019
HMIS 240.7410 45.8274 172 -1.61 0.71 -1.87 0.43 0.44 1.32 -0.005
HOWL 237.1203 44.9900 38 1.67 6.57 -0.33 0.32 0.37 2.05 -0.100
HSTN 239.0702 44.2564 972 -1.89 2.09 -5.91 0.52 0.62 8.86 0.027
HTCH 239.0341 47.1917 569 1.83 1.63 5.00 0.47 0.52 2.01 0.022
HVX4 243.7013 45.1230 1144 -0.97 3.02 -3.80 0.86 1.85 3.56 -0.030
HYAK 238.6077 47.3885 758 0.76 2.66 -1.43 0.23 0.24 1.04 -0.004
ICBJ 237.1080 48.4215 8 3.71 3.51 -0.45 0.34 0.37 2.55 -0.019
ICEB 237.1153 48.4199 22 3.71 3.51 -0.45 0.34 0.37 2.55 -0.019
IDNP 243.8787 45.9397 996 -0.89 0.08 -1.03 0.13 0.14 0.59 -0.013
IDT2 243.0043 46.4282 212 -1.16 -0.04 -2.47 0.41 0.54 1.73 0.064
IMP0 237.1739 44.7951 106 1.12 5.86 1.05 0.50 0.57 2.13 -0.093
IOOF 239.4788 47.0121 492 0.18 1.57 0.95 0.18 0.21 1.73 0.020
J090 240.1434 44.1185 1191 -1.64 2.41 -2.35 0.42 0.48 1.77 -0.080
J146 243.6869 44.2539 971 -2.19 0.44 -4.71 0.37 0.47 15.91 -0.116
J388 240.6916 47.6196 462 0.00 0.57 -1.16 0.34 0.41 1.55 0.032
JAIL 237.0290 44.8765 73 1.89 6.25 -0.75 0.23 0.27 1.40 -0.040
JCIA 237.1906 48.0546 10 3.92 3.97 13.29 0.70 0.79 10.44 -0.026
JMS0 237.0135 45.2983 23 1.94 4.89 3.26 1.29 1.70 5.69 -0.233
JMSO 237.0135 45.2983 22 1.94 4.89 3.26 1.29 1.70 5.69 -0.233
JONY 240.3719 44.6226 697 -1.69 1.61 -2.59 0.19 0.21 18.31 0.044
JOSE 242.7477 45.3491 1246 -1.55 -0.12 -1.57 0.27 0.39 1.15 -0.027
JUSW 242.9413 48.1792 647 -0.41 -0.35 -0.35 0.47 0.61 2.04 -0.031
K024 242.2684 48.2076 488 -0.94 1.07 1.53 0.82 1.01 3.78 -0.032
K061 237.9406 48.5266 6 1.04 2.01 0.57 1.59 1.93 7.15 -0.108
K238 240.7324 46.1952 143 -0.52 1.00 -1.95 0.39 0.42 3.21 -0.007
K638 239.8353 45.7498 125 -0.28 1.53 -2.55 0.35 0.32 0.83 0.018
KAMI 243.9947 46.2126 354 -0.70 -0.16 -2.11 0.29 0.36 1.28 0.014
KELS 237.1039 46.1182 0 2.90 5.36 -1.94 0.20 0.15 0.50 0.000
KENI 240.8414 46.1979 146 0.10 0.62 -2.11 0.19 0.20 0.73 0.002
KINW 237.3519 47.7347 0 4.13 3.95 1.58 0.77 0.97 3.24 -0.059
KLOG 241.3408 48.6975 739 -0.48 0.71 -3.00 0.55 0.68 2.28 -0.030
KTBW 237.2046 47.5473 491 3.28 3.57 -1.25 0.20 0.16 0.42 0.001
L387 239.9370 47.6564 787 0.31 0.99 -3.10 0.20 0.23 0.83 0.001
LANG 237.0444 44.5660 70 1.86 5.30 -2.13 0.51 0.66 2.61 -0.066
LARC 237.9124 45.5327 1211 0.64 6.49 -0.49 1.18 0.79 172.25 -0.002
LATH 242.8681 47.2744 772 -0.03 0.58 -0.51 0.65 0.84 2.80 -0.051
LEWG 237.3793 47.0942 57 2.05 5.59 -3.34 0.75 0.94 4.98 -0.017
LINH 239.4615 47.0003 472 0.19 1.34 -2.26 0.14 0.14 0.49 0.001
LION 237.6610 48.4250 0 -4.09 2.51 -15.33 0.88 1.09 59.19 -0.069
LKCP 238.1691 47.9444 178 1.66 2.25 -2.17 0.14 0.13 0.39 0.007
LNGB 237.2417 47.2188 2 3.27 4.15 -0.76 0.21 0.22 0.78 0.001
LSIG 238.3104 47.6952 527 1.89 2.20 -3.14 0.37 0.34 1.27 -0.006
M415 240.3643 44.7715 551 -1.58 1.01 -1.02 0.44 0.52 1.97 -0.095
M516 238.1230 45.6763 24 -0.04 3.43 -5.29 0.20 0.23 5.60 0.012
M753 239.5841 44.3971 1216 -1.62 2.63 -2.85 0.88 1.27 4.77 0.087
MARY 239.2695 45.7403 933 -0.31 2.41 -1.81 0.19 0.21 5.46 0.018
MAYL 237.3692 48.2680 0 2.36 1.60 1.34 0.54 0.62 5.51 0.016
MAZA 239.6176 48.5705 615 0.79 2.23 8.91 0.43 0.87 5.60 0.046
MESA 240.9935 46.6212 276 -0.68 0.69 -2.15 0.16 0.17 0.59 0.011
MHTL 238.2888 45.3287 1750 1.03 2.99 -1.56 0.25 0.28 0.66 -0.029
MLCY 237.5200 44.7518 230 1.37 5.49 1.33 0.50 0.63 3.59 -0.082
MORT 237.7296 46.5506 265 2.35 4.39 -1.09 0.30 0.36 4.92 -0.005
MOSQ 237.9764 44.0646 1013 -2.29 3.58 -1.17 0.53 0.67 2.80 -0.078
MOWI 238.1350 46.9335 1497 0.80 3.70 3.09 1.34 1.47 7.46 0.007
MTAD 238.4581 46.0001 576 0.52 3.43 -2.26 0.15 0.17 3.40 -0.003
MUDM 238.0664 47.1419 383 0.57 2.87 -2.09 0.60 0.62 5.72 -0.007
N518 240.6034 45.6575 256 -1.64 1.13 -1.63 0.34 0.44 1.57 0.000
NACH 239.3017 46.7281 424 0.72 1.61 -2.99 0.19 0.22 0.76 -0.006
NINT 238.2029 47.4951 127 1.28 2.61 -2.53 0.26 0.24 0.52 0.005
NMDS 243.7200 44.9742 1165 -1.67 -0.57 -2.70 0.20 0.21 0.76 0.003
NOFO 237.5762 48.3663 19 2.45 3.45 19.52 1.39 0.74 34.06 -0.008
OGIL 241.0387 44.4099 1100 -1.94 1.05 -0.62 0.14 0.14 0.47 -0.002
OHME 239.6744 47.4800 297 0.52 1.13 -2.13 0.21 0.24 9.68 -0.007
OLYM 237.0924 46.9669 41 2.73 4.49 -0.51 1.25 0.63 2.24 -0.006
OROF 243.7185 46.4548 907 -1.01 -0.33 -1.10 0.52 0.71 2.31 0.011
ORS1 240.9413 44.1642 1437 -1.75 1.36 -2.13 0.13 0.11 0.48 0.000
ORS2 240.9415 44.1641 1438 -1.75 1.36 -2.13 0.13 0.11 0.48 0.000
OTHL 240.8321 46.8226 313 0.22 1.14 -4.26 0.25 0.32 6.49 0.009
P020 241.4342 47.0022 480 -0.70 0.41 -1.43 0.14 0.14 0.45 0.001
P021 241.2697 48.6747 1163 -0.14 0.24 -0.49 0.19 0.20 0.66 0.004
P022 241.9862 45.2318 888 -1.43 0.53 -0.84 0.15 0.15 0.62 0.001
P023 243.8970 44.8984 1521 -1.32 0.06 -0.56 0.17 0.17 0.53 0.000
P025 243.7125 48.7310 695 -0.22 -0.25 -0.04 0.17 0.17 0.66 0.001
P063 239.0538 44.9227 965 -0.70 2.29 -2.15 0.17 0.15 0.52 -0.004
P065 239.0669 46.8440 1017 0.75 1.80 -1.59 0.17 0.17 0.52 0.001
P372 242.7483 45.4281 1208 -1.06 0.24 -0.60 0.18 0.17 0.53 0.001
P377 237.1129 44.0521 142 0.49 5.32 -1.37 0.18 0.16 0.54 0.000
P378 237.0691 44.5350 83 1.60 5.59 -0.70 0.18 0.17 0.52 0.000
P379 237.4230 44.4965 1221 1.03 4.82 -1.24 0.20 0.19 0.46 0.000
P383 237.7828 44.3422 1295 0.20 4.21 -2.08 0.22 0.22 0.81 0.000
P384 237.5172 44.8411 1182 1.53 4.85 -0.75 0.24 0.24 0.87 0.000
P385 238.0542 44.4348 1120 -0.16 3.64 -1.74 0.22 0.23 0.77 0.002
P386 241.0322 44.4028 1103 -1.94 1.05 -0.62 0.14 0.14 0.47 -0.002
P387 238.4255 44.2968 962 -0.11 3.21 -2.02 0.18 0.18 0.53 0.001
P394 242.2004 44.8349 1010 -1.51 0.41 -0.66 0.18 0.17 0.56 0.000
P412 237.4109 45.2211 53 1.99 5.19 -1.76 0.19 0.18 0.54 0.001
P413 239.8504 48.4265 501 0.49 0.88 -1.47 0.21 0.21 0.80 0.000
P414 237.3072 45.8349 63 2.95 5.33 -2.32 0.31 0.21 0.82 0.001
P416 238.4031 47.0399 1576 1.33 3.07 -1.87 0.20 0.23 0.77 0.002
P420 237.1337 46.5886 74 2.96 5.08 -2.10 0.31 0.28 0.73 -0.000
P421 237.5708 46.5319 220 2.19 4.73 -1.86 0.23 0.22 0.58 0.000
P422 243.0203 46.7979 843 -0.54 -0.09 -0.83 0.18 0.17 0.53 0.000
P423 237.0588 47.2879 39 3.52 4.60 -1.35 0.28 0.22 0.64 0.001
P424 237.1253 47.8232 0 4.58 3.77 0.06 0.45 0.48 1.09 0.008
P425 237.1546 46.4527 64 2.71 5.01 -2.35 0.29 0.23 0.72 -0.000
P426 237.4854 47.8027 3 3.43 3.06 -3.46 0.26 0.21 0.78 0.003
P427 237.6594 45.4302 149 1.67 4.69 -2.74 0.19 0.16 0.51 0.000
P429 238.1226 45.6761 25 1.08 4.00 -2.52 0.20 0.16 0.52 -0.001
P431 238.0116 46.5721 1422 1.72 4.09 -2.23 0.21 0.21 0.76 0.000
P432 238.3168 46.6229 318 1.09 2.83 -2.09 0.24 0.15 0.46 0.001
P433 240.1280 44.5325 1158 -1.53 1.68 -1.06 0.20 0.19 0.58 0.002
P434 238.9244 47.7402 1698 1.08 1.50 -1.19 0.19 0.20 0.75 0.000
P437 237.5408 48.0018 12 3.09 2.84 -1.38 0.26 0.28 0.83 0.001
P438 237.3297 48.4192 0 2.94 2.76 -1.21 0.25 0.27 0.76 0.000
P439 237.0907 48.7082 0 3.14 3.07 -0.51 0.43 0.32 0.70 0.000
P442 238.3844 48.2605 146 1.35 1.64 -1.87 0.26 0.21 0.85 0.006
P443 238.7144 48.5097 1062 1.25 1.66 -0.43 0.20 0.20 0.72 0.002
P444 238.9324 48.7302 493 1.06 1.63 -1.33 0.30 0.17 0.63 -0.008
P445 239.3277 45.5901 436 -0.37 2.10 -2.28 0.25 0.17 0.54 0.000
P446 237.1072 46.1157 0 2.90 5.36 -1.94 0.20 0.15 0.50 0.000
P447 240.3099 45.4528 471 -0.99 0.92 -1.90 0.21 0.18 0.57 0.001
P448 239.9948 45.9106 261 -0.27 1.11 -3.07 0.15 0.15 0.46 0.000
P449 240.3690 46.2598 208 -0.38 1.20 -2.30 0.16 0.16 0.47 0.001
P450 240.4558 45.9533 163 -0.60 1.29 -2.25 0.18 0.15 0.43 0.001
P451 240.9586 46.7928 351 -0.34 0.74 -1.77 0.15 0.15 0.45 0.000
P452 240.5127 47.4035 323 -0.17 0.65 -1.80 0.15 0.15 0.46 0.004
P453 241.2545 47.7591 644 -0.27 0.36 -1.30 0.15 0.16 0.46 0.002
P454 241.0074 47.9538 478 -0.12 0.52 -1.23 0.16 0.16 0.56 0.001
P687 237.6454 46.1096 391 2.13 4.09 -2.95 0.30 0.24 0.72 -0.011
P688 237.8358 46.0301 1165 1.84 2.94 -1.76 0.25 0.27 0.75 0.001
P689 237.6394 46.1895 1359 1.24 4.51 -1.70 0.23 0.23 0.74 -0.000
P691 237.7730 46.2315 1182 1.13 5.40 0.27 0.21 0.22 0.67 0.001
P700 237.7826 46.1781 1521 1.54 3.67 -0.77 0.23 0.21 0.61 0.002
P701 237.8667 46.1946 1247 3.01 4.08 -0.76 0.27 0.23 0.61 0.000
P705 237.6894 46.1730 1150 1.01 4.36 -1.46 0.34 0.34 0.84 -0.001
P814 241.2546 47.7592 644 -0.27 0.36 -1.30 0.15 0.16 0.46 0.002
PACK 238.3248 46.6068 301 1.26 2.85 -3.49 0.27 0.28 1.04 0.003
PAN1 238.2315 46.3078 1732 -0.48 1.50 -0.79 0.67 0.68 8.06 0.001
PAUL 240.9685 45.4989 750 -1.22 1.00 -0.95 0.20 0.22 1.85 0.028
PCOL 237.4292 47.1721 79 2.66 3.74 -1.36 0.19 0.20 0.49 0.001
PETE 237.0309 44.5102 413 1.88 5.71 6.44 0.64 0.78 5.55 -0.176
PIBU 238.7168 44.0606 1241 -1.45 2.75 -0.97 0.42 0.49 2.06 -0.085
PKDL 238.4363 45.5183 511 1.07 2.97 -1.20 0.57 0.58 1.35 0.003
PKWD 238.3230 46.5998 306 1.26 2.85 -3.49 0.27 0.28 1.04 0.003
PLDX 237.3191 47.9264 0 3.08 2.22 1.56 0.46 0.67 34.43 -0.020
PLMR 242.1786 45.7691 1230 -1.16 -0.24 -0.38 0.31 0.39 1.38 -0.014
PLNW 239.3590 47.7481 693 -0.10 0.66 -1.21 0.21 0.23 3.25 0.031
PLSB 237.3703 47.7297 92 3.52 3.15 -2.53 0.61 0.74 2.51 -0.124
PLUD 237.3175 47.9216 0 3.08 2.23 1.55 0.46 0.67 34.43 -0.020
PNAZ 243.0559 44.1193 635 -2.66 0.46 0.82 0.39 0.48 1.76 -0.063
PNDL 241.2085 45.6696 315 -0.61 0.37 -4.80 0.37 0.38 5.29 0.006
PNFD 237.7278 47.9078 156 2.48 3.31 -1.88 0.56 0.68 2.33 -0.004
POME 242.3683 46.4799 551 -0.66 0.13 -1.38 0.28 0.25 0.89 0.005
POND 238.4500 45.7109 80 0.35 3.62 -2.38 0.19 0.22 0.84 0.001
POTA 240.7178 44.9746 745 -1.50 0.83 0.60 0.24 0.27 0.99 0.007
PRDY 237.3905 47.3914 82 2.80 3.18 -1.65 0.26 0.17 0.76 0.000
PRIN 239.1350 44.3013 951 -1.10 2.31 -2.91 0.18 0.20 0.70 -0.016
PRSC 237.0755 46.0401 340 2.05 6.60 -4.87 0.79 0.79 2.89 -0.091
PRSR 240.2092 46.2157 197 -0.43 1.33 -5.85 0.32 0.27 8.01 0.007
PTS5 237.2799 46.5327 134 3.03 4.99 0.25 0.60 0.71 2.66 -0.118
PTSN 240.3902 45.9392 118 -0.84 1.12 -1.37 0.30 0.30 1.18 0.007
PUMP 239.5406 46.3157 218 0.14 1.81 -3.41 0.17 0.19 14.05 0.030
QG15 237.1123 47.8368 11 3.58 4.59 -2.15 1.23 1.18 16.23 0.085
QMAR 239.0344 47.7751 812 1.21 1.40 -0.54 0.18 0.19 0.92 -0.004
QURY 239.4549 47.1868 1474 0.72 1.28 3.47 0.24 0.27 19.72 0.220
R378 239.7444 48.5082 566 -1.98 2.66 0.91 0.95 0.52 1.83 -0.012
R409 242.7510 45.9288 1270 -1.00 -0.19 0.25 0.38 0.44 1.59 -0.059
R489 242.5427 44.5776 782 -2.21 0.25 -1.34 0.33 0.41 1.42 -0.030
R502 240.9146 46.3644 141 -0.70 0.67 -2.00 0.49 0.27 0.92 0.001
RDP2 238.1790 45.9349 1493 1.19 3.66 -2.05 0.41 0.42 3.68 -0.000
REDM 238.8521 44.2598 919 -1.29 2.65 -2.12 0.09 0.08 0.38 0.001
REFL 238.2720 46.7683 1464 1.50 4.16 1.05 0.54 0.74 2.88 -0.025
RICH 240.7223 46.2774 99 -0.56 0.90 -1.81 0.20 0.20 0.68 0.003
RKBU 237.4340 45.5467 163 0.88 5.39 0.56 0.24 0.28 4.56 -0.080
RMDB 238.8521 44.2598 919 -1.29 2.65 -2.12 0.09 0.08 0.38 0.001
RNDE 242.7605 46.0455 581 -0.96 -0.68 -1.70 0.30 0.73 1.29 0.030
