SUMMARY OF GPS VELOCITIES

This file gives the GPS velocities used and the fits for the model in which permanent strain rates are
allowed in 8 of the blocks.
  
* in first column indicates velocity not used in solution
SITE = Site code
SRCE = Velocity source code (see Table 1)
BLCK = Block code (see Table 3) 
POLE = Pole this site constrains
Longit. = Longitude of site
Latit. = Latitude of site
Ve = East velocity from original source
Vn = North velocity from original source
Se = East velocity sigma from original source
Sn = North velocity sigma from original source
Sne = North-East correlation from original source
Enet = East reference frame adjustment 
Nnet = North reference frame adjustment 
Eref = East velocity in NOAM reference frame
Nref = North velocity in NOAM reference frame
Eela = East velocity from elastic strain
Nela = North velocity from elastic strain
Erot = East velocity from block rotation
Nrot = North velocity from block rotation
Estr = East velocity from permanent strain rate
Nstr = North velocity from permanent strain rate
Eres = East residual velocity
Nres = North residual velocity
Vres = Total residual velocity
Vsig = Velocity uncertainty in direction of Vres
R/S = Vres / Vsig

 SITE     SRCE BLCK POLE  Longit.   Latit.     Ve     Vn     Se     Sn    Sne    Enet   Nnet   Eref   Nref   Eela   Nela   Erot   Nrot   Estr   Nstr   Eres   Nres   Vres   Vsig    R/S
*0226     JF99 WEBR PO20  240.006   40.245   16.9  -36.3    8.2    4.6 -0.3994   24.3  -46.7   -7.4   10.3    0.0    0.2   -6.0    5.4   -1.1   -0.8   -0.4    5.5    5.5    4.8    1.1
 0301     JF99 SNEV PO04  237.330   39.667   14.2  -32.0    3.0    2.3 -0.0487   24.7  -42.8  -10.6   10.8   -0.6    0.8   -9.2    9.1    0.0    0.0   -0.8    0.9    1.2    2.7    0.5
 0301_GPS CMM3 WBAJ PO18  242.435   33.375  -26.6   29.6    1.0    1.0 -0.0590    0.3   -0.1  -26.9   29.6    1.5   -1.0  -29.0   30.2    0.0    0.0    0.6    0.4    0.7    1.0    0.7
 0302_GPS CMM3 WBAJ PO18  242.751   33.355  -27.4   27.6    1.3    1.5 -0.0320    0.3   -0.1  -27.7   27.6    2.2   -1.4  -28.9   29.9    0.0    0.0   -1.0   -0.8    1.3    1.4    1.0
*0303     JF99 SNEV PO04  238.469   39.705   24.8  -30.3    8.3    3.3 -0.0094   24.2  -44.5    0.6   14.1   -0.1    0.4   -9.0    8.6    0.0    0.0    9.7    5.2   11.0    7.5    1.5
 0303_GPS CMM3 WBAJ PO18  242.841   33.332  -25.7   28.9    1.3    1.4 -0.0540    0.3   -0.1  -26.0   29.0    2.4   -1.4  -28.9   29.8    0.0    0.0    0.5    0.6    0.8    1.3    0.6
 0306     JF99 SNEV PO04  239.320   39.293   14.1  -35.4    5.8    2.9  0.1012   23.2  -45.7   -9.1   10.3    0.0    0.3   -9.3    8.2    0.0    0.0    0.2    1.8    1.8    3.0    0.6
 0411     JF99 WCCR PO17  236.962   38.324    4.2  -10.6    7.7    4.3 -0.4073   22.8  -42.3  -18.6   31.7   -3.1    4.5  -16.1   22.6    0.0    0.0    0.6    4.6    4.6    4.0    1.2
 0412     JF99 ECCR PO15  237.593   38.441   12.9  -28.4    6.1    3.5 -0.3346   22.7  -43.2   -9.9   14.8   -0.9    1.4  -12.0   15.9    0.0    0.0    3.1   -2.5    4.0    5.9    0.7
 0413     JF99 PACI PO02  236.599   38.653   -0.3   -6.4    3.4    2.4 -0.1401   23.5  -41.8  -23.8   35.4    4.2   -6.4  -27.9   40.0    0.0    0.0    0.0    1.8    1.8    2.4    0.7
 0414     JF99 ECCR PO15  237.188   38.671   11.4  -17.2    3.4    2.4 -0.1607   23.3  -42.6  -11.9   25.4   -2.2    3.0  -12.0   16.1    0.0    0.0    2.3    6.4    6.8    2.4    2.9
 0501_GPS CMM3 VENT PO19  240.394   34.420  -28.8   26.7    1.0    1.0 -0.0500    0.3    0.0  -29.1   26.7    0.8   -1.9  -29.7   32.0   -0.7    0.2    0.5   -3.6    3.6    1.0    3.5
 0504_GPS CMM3 SALI PO16  240.162   35.003  -26.9   28.2    1.0    1.0 -0.0490    0.3    0.0  -27.3   28.3    3.1   -3.4  -32.3   33.1    1.9   -1.8   -0.1    0.4    0.4    1.0    0.4
 0505_GPS CMM3 SALI PO16  239.416   35.084  -28.8   38.6    3.9    2.3  0.1760    0.3    0.0  -29.2   38.7    2.3    1.0  -32.3   34.2    0.4   -1.4    0.5    4.9    4.9    2.4    2.1
 0509_GPS CMM3 SALI PO16  238.516   35.992  -29.5   35.8    1.0    1.0 -0.0250    0.3    0.0  -29.9   35.8    1.9    1.0  -30.6   35.6   -1.7    0.9    0.5   -1.7    1.8    1.0    1.7
 0510_GPS CMM3 SALI PO16  239.184   36.188  -28.9   30.8    1.1    1.0 -0.0500    0.3    0.0  -29.2   30.8    2.4   -0.7  -29.9   34.6   -0.4    1.2   -1.3   -4.2    4.4    1.0    4.3
 05NE_GPS CMM3 SMOJ PO01  244.265   33.427   -6.1    9.2    2.2    2.1  0.0040    0.3   -0.1   -6.4    9.3   -6.8    7.2    0.0    0.0    0.0    0.0    0.4    2.2    2.2    2.1    1.0
 0605_GPS CMM3 SNEV PO04  240.882   36.738   -9.5   11.1    1.1    1.0 -0.0580    0.3    0.0   -9.9   11.2    0.5    1.2  -10.9    7.5    0.0    0.0    0.5    2.5    2.5    1.0    2.5
 0607_GPS CMM3 SNEV PO04  239.646   36.501   -7.8    9.9    1.2    1.1  0.0420    0.3    0.0   -8.1   10.0    0.2    2.2  -11.2    8.0    0.0    0.0    2.9   -0.3    2.9    1.2    2.3
 0609_GPS CMM3 SNEV PO04  240.712   36.289  -10.8   11.3    1.0    1.0 -0.0320    0.3    0.0  -11.2   11.4    0.2    1.9  -11.3    7.5    0.0    0.0   -0.1    2.0    2.0    1.0    1.9
 0611_GPS CMM3 SNEV PO04  241.273   36.185  -12.1   10.9    1.8    1.1 -0.0130    0.3    0.0  -12.4   10.9    0.4    1.7  -11.3    7.3    0.0    0.0   -1.6    2.0    2.5    1.4    1.8
 0613_GPS CMM3 SNEV PO04  240.741   35.819  -11.7   13.5    2.3    2.2  0.0720    0.3    0.0  -12.0   13.6   -0.6    2.8  -11.6    7.5    0.0    0.0    0.1    3.2    3.2    2.2    1.5
 0614     MC01 SNEV PO04  241.412   35.745   -9.5    8.6    0.5    0.5 -0.0240    2.1   -1.0  -11.6    9.6    0.0    2.5  -11.6    7.2    0.0    0.0    0.1   -0.1    0.1    0.5    0.2
 0614_GPS CMM3 SNEV PO04  241.412   35.745  -11.7    9.8    0.9    0.9 -0.0480    0.3    0.0  -12.0    9.9    0.0    2.5  -11.6    7.2    0.0    0.0   -0.4    0.2    0.4    0.9    0.5
*0616_GPS CMM3 SNEV PO04  240.773   35.267  -12.5   11.3    1.0    1.0 -0.0620    0.3    0.0  -12.8   11.4   -3.0    6.2  -12.0    7.5    0.0    0.0    2.1   -2.3    3.1    1.0    3.1
 0617_GPS CMM3 SNEV PO04  241.375   35.274  -12.0   12.3    1.0    1.0 -0.0520    0.3    0.0  -12.3   12.4   -0.6    4.8  -11.9    7.2    0.0    0.0    0.2    0.3    0.4    1.0    0.4
 0618_GPS CMM3 MOJA PO11  241.132   34.825  -20.0   18.5    1.0    1.1 -0.0630    0.3    0.0  -20.4   18.6  -10.1    9.6  -10.0   11.3    0.7   -1.2   -1.0   -1.1    1.5    1.0    1.5
 0701_GPS CMM3 SANA PO08  241.597   33.996  -28.0   30.8    1.5    1.1 -0.0090    0.3    0.0  -28.3   30.8    3.3   -3.9  -30.7   32.8    0.0    0.0   -0.9    2.0    2.2    1.2    1.9
 0702_GPS CMM3 WBAJ PO18  242.000   34.078  -27.7   24.6    1.1    1.1 -0.0260    0.3   -0.1  -28.0   24.6    2.4   -5.3  -28.0   30.7    0.0    0.0   -2.4   -0.9    2.6    1.1    2.5
 0703_GPS CMM3 VENT PO19  241.037   34.053  -28.7   30.9    2.0    1.2 -0.0240    0.3    0.0  -29.0   30.9    0.4   -0.4  -30.1   31.4    1.2    0.5   -0.5   -0.5    0.7    1.6    0.4
 0704_GPS CMM3 VENT PO19  241.460   34.407  -25.3   22.2    0.9    0.9 -0.0500    0.3    0.0  -25.7   22.2    2.8   -4.4  -29.4   30.9    0.3   -2.9    0.7   -1.5    1.6    0.9    1.7
 0705_GLA CMM3 MOJA PO11  242.235   34.493  -15.2   17.8    1.4    1.1 -0.0320    0.3   -0.1  -15.6   17.8   -6.5    7.7   -9.8   11.8   -0.2   -0.8    0.8   -0.9    1.2    1.2    1.0
 0706_GPS CMM3 VENT PO19  241.060   34.394  -32.2   27.1    1.3    1.2  0.0160    0.3    0.0  -32.6   27.1    1.7   -3.1  -29.6   31.4    0.0   -1.6   -4.7    0.5    4.8    1.3    3.6
 0712     WUSC NOAM PO01  253.541   23.343    0.0    2.4    1.8    1.8 -0.0312    0.8    0.0   -0.8    2.4    0.0    0.0    0.0    0.0    0.0    0.0   -0.8    2.4    2.5    1.8    1.4
 07CG_GPS CMM3 SANA PO08  241.567   33.928  -28.1   30.8    2.4    1.5 -0.0280    0.3    0.0  -28.5   30.8    3.0   -3.4  -30.8   32.8    0.0    0.0   -0.6    1.4    1.5    1.7    0.9
 07CI_GPS CMM3 WBAJ PO18  241.820   33.951  -26.1   27.8    1.4    1.5 -0.0430    0.3    0.0  -26.5   27.8    1.9   -3.5  -28.2   30.9    0.0    0.0   -0.1    0.4    0.4    1.5    0.3
 07DI_GPS CMM3 WBAJ PO18  241.829   34.063  -26.0   24.0    1.5    1.4  0.0400    0.3    0.0  -26.3   24.0    2.1   -4.6  -28.0   30.9    0.0    0.0   -0.4   -2.3    2.3    1.5    1.6
 07EH_GPS CMM3 VENT PO19  241.784   34.211  -25.4   25.4    1.5    1.5 -0.1110    0.3    0.0  -25.7   25.5    2.4   -3.4  -29.6   30.6    1.3   -2.7    0.2    0.9    0.9    1.5    0.6
 07FI_GPS CMM3 SGAB PO10  241.864   34.379  -24.2   22.3    1.8    1.5 -0.0560    0.3    0.0  -24.6   22.4    4.7   -4.2  -29.1   26.4   -0.1   -0.3   -0.1    0.4    0.4    1.6    0.3
 07NE_GPS CMM3 SMOJ PO01  244.248   33.412   -9.6    7.8    1.2    1.2 -0.0270    0.3   -0.1  -10.0    7.9   -7.5    7.9    0.0    0.0    0.0    0.0   -2.5    0.0    2.5    1.2    2.1
 0801_GPS CMM3 EBNR PO13  244.577   35.541   -1.6    1.3    1.2    1.5 -0.0090    0.3   -0.1   -1.9    1.4   -0.4    0.5   -2.4    0.8    0.0    0.0    0.8    0.1    0.8    1.2    0.7
 0802_GPS CMM3 EBNR PO13  244.111   35.371   -3.6    1.4    2.0    3.0 -0.0090    0.3   -0.1   -3.9    1.5   -0.7    0.8   -2.4    0.7    0.0    0.0   -0.9    0.0    0.9    2.0    0.4
 0803_GPS CMM3 EMOJ PO26  243.585   35.072   -5.8    1.7    1.1    1.1 -0.0480    0.3   -0.1   -6.1    1.7   -0.4    1.0   -5.7    4.0    0.0    0.0    0.1   -3.3    3.3    1.1    2.9
 0805_GPS CMM3 MOJA PO11  242.471   35.007   -8.5   13.4    2.0    1.5 -0.0130    0.3   -0.1   -8.8   13.4   -1.0    0.5   -9.9   11.8    0.4    0.7    1.6    0.4    1.6    1.9    0.9
 0806_GPS CMM3 MOJA PO11  242.386   35.366   -7.7   11.1    1.4    1.1 -0.0350    0.3   -0.1   -8.0   11.2   -0.4   -1.6  -10.1   11.8    1.0    1.4    1.5   -0.4    1.5    1.3    1.1
 0808_GPS CMM3 EBNR PO13  244.067   34.728   -3.2   -0.1    1.0    1.1 -0.0770    0.3   -0.1   -3.5    0.0   -1.0    1.1   -2.2    0.7    0.0    0.0   -0.3   -1.8    1.8    1.1    1.7
 0809_GPS CMM3 EBNR PO13  244.673   34.806   -0.9    0.3    1.6    1.3 -0.0210    0.3   -0.1   -1.3    0.4    0.2    0.4   -2.2    0.8    0.0    0.0    0.8   -0.9    1.1    1.4    0.8
 0817_GPS CMM3 MOJA PO11  242.758   34.537  -13.9   14.4    1.0    1.1 -0.0700    0.3   -0.1  -14.2   14.4   -2.3    2.2   -9.7   11.9   -0.3   -0.1   -1.9    0.4    1.9    1.0    1.9
 0818_GPS CMM3 SALT PO12  242.896   34.022  -17.0   20.2    1.1    1.1 -0.0540    0.3   -0.1  -17.4   20.2   -1.1   -3.2  -16.3   22.3   -1.3    1.8    1.3   -0.6    1.4    1.1    1.3
 0819_GPS CMM3 ANZA PO23  242.453   33.884  -23.9   26.1    0.9    1.0 -0.0560    0.3   -0.1  -24.2   26.1    2.3   -3.9  -26.6   30.8   -0.4   -1.1    0.3    0.3    0.5    0.9    0.5
 0821_GPS CMM3 SALT PO12  243.429   33.561  -17.9   19.9    1.4    1.7 -0.0220    0.3   -0.1  -18.3   20.0   -2.5   -0.7  -16.3   22.2    1.2    0.1   -0.6   -1.6    1.7    1.6    1.0
 0909_GPS CMM3 EBNR PO13  243.022   36.724   -3.1    2.1    0.9    1.0 -0.0020    0.3   -0.1   -3.5    2.2   -0.7    1.4   -2.7    0.4    0.0    0.0    0.0    0.4    0.4    1.0    0.4
 0911_GPS CMM3 PANA PO25  242.721   36.402   -5.5    4.2    0.9    0.9 -0.0220    0.3   -0.1   -5.9    4.2   -1.2    1.1   -3.8    2.9    0.0    0.0   -0.8    0.2    0.9    1.0    0.9
 0912_GPS CMM3 EBNR PO13  243.584   36.304   -2.5    1.7    0.9    1.0 -0.0140    0.3   -0.1   -2.9    1.7   -0.7    1.0   -2.6    0.6    0.0    0.0    0.4    0.2    0.4    0.9    0.5
 0914_GPS CMM3 INYO PO24  242.671   35.978   -6.1    5.4    0.9    0.9 -0.0410    0.3   -0.1   -6.5    5.4   -0.6    2.0   -6.0    4.0    0.0    0.0    0.1   -0.5    0.5    0.9    0.5
 0915_GPS CMM3 EBNR PO13  243.700   35.867   -3.3    2.2    1.1    1.1 -0.1160    0.3   -0.1   -3.7    2.3   -0.8    1.1   -2.5    0.6    0.0    0.0   -0.4    0.5    0.7    1.1    0.6
 1101_GPS CMM3 WBAJ PO18  243.017   32.569  -27.1   29.7    1.1    1.2 -0.0640    0.3   -0.1  -27.4   29.8    0.8    0.3  -30.2   29.6    0.0    0.0    1.9   -0.2    1.9    1.1    1.8
 1102_GPS CMM3 WBAJ PO18  243.523   32.607  -27.0   28.7    1.0    1.1 -0.0610    0.3   -0.1  -27.3   28.7    1.9   -0.7  -29.9   29.0    0.0    0.0    0.7    0.3    0.8    1.0    0.8
 1103_GPS CMM3 ANZA PO23  244.117   32.675  -26.7   23.8    2.8    2.9  0.0150    0.3   -0.1  -27.1   23.9    1.9   -3.8  -27.4   29.7    0.2    1.3   -1.7   -3.4    3.8    2.9    1.3
 1105_GPS CMM3 NOAM PO01  245.296   32.746   -1.6    1.9    2.5    2.1  0.0680    0.3   -0.1   -2.0    2.0   -2.1    1.9    0.0    0.0    0.0    0.0    0.1    0.1    0.1    2.4    0.0
 1106_GPS CMM3 WBAJ PO18  243.198   32.844  -27.0   28.2    1.0    1.0 -0.0750    0.3   -0.1  -27.4   28.3    1.7   -0.7  -29.6   29.4    0.0    0.0    0.6   -0.4    0.7    1.0    0.7
 1107_GPS CMM3 WBAJ PO18  242.723   33.130  -28.2   29.8    1.0    1.1 -0.0880    0.3   -0.1  -28.5   29.8    1.5   -0.7  -29.3   29.9    0.0    0.0   -0.7    0.6    0.9    1.1    0.8
 1108_GPS CMM3 ANZA PO23  243.307   33.234  -25.8   27.0    1.0    1.1 -0.1010    0.3   -0.1  -26.2   27.0    1.6   -3.0  -27.0   30.2   -0.1    0.2   -0.6   -0.4    0.8    1.0    0.8
 1109     WUSC ANZA PO23  243.753   33.160  -22.3   23.5    1.3    1.3  0.0118    0.7   -0.1  -23.0   23.6    3.4   -5.1  -27.0   29.9    0.2    0.5    0.4   -1.8    1.8    1.3    1.4
 1109_GPS CMM3 ANZA PO23  243.753   33.160  -22.5   24.0    0.9    1.0 -0.0540    0.3   -0.1  -22.9   24.0    3.4   -5.1  -27.0   29.9    0.2    0.5    0.5   -1.3    1.4    1.0    1.4
 1110_GPS CMM3 SALT PO12  244.112   33.177  -14.2   15.9    0.9    1.0 -0.0660    0.3   -0.1  -14.6   16.0   -1.7   -2.5  -16.3   22.1    3.3   -2.2    0.1   -1.4    1.4    1.0    1.4
 1111_GPS CMM3 NOAM PO01  244.481   33.231   -4.1    1.0    1.0    1.0 -0.0650    0.3   -0.1   -4.4    1.1   -5.6    2.7    0.0    0.0    0.0    0.0    1.1   -1.7    2.0    1.1    1.9
 1113_GPS CMM3 SMOJ PO01  244.036   33.677   -6.3    4.2    1.2    1.4 -0.0650    0.3   -0.1   -6.6    4.3   -6.1    7.2    0.0    0.0    0.0    0.0   -0.5   -2.9    2.9    1.4    2.1
 1114_GPS CMM3 NOAM PO01  244.757   33.681   -2.8    1.4    1.2    1.1 -0.0510    0.3   -0.1   -3.1    1.4   -2.0    1.2    0.0    0.0    0.0    0.0   -1.1    0.2    1.1    1.2    0.9
 1115_GPS CMM3 NOAM PO01  245.476   33.719   -0.9    1.5    2.2    1.7  0.0330    0.3   -0.1   -1.3    1.6   -1.2    0.7    0.0    0.0    0.0    0.0   -0.1    0.9    0.9    1.7    0.5
 1201_GPS CMM3 SANA PO08  241.912   33.737  -25.4   30.0    1.3    1.0 -0.0240    0.3    0.0  -25.7   30.0    3.2   -2.8  -31.1   32.3    0.0    0.0    2.1    0.6    2.2    1.3    1.7
 1202_GPS CMM3 WBAJ PO18  242.320   33.469  -27.0   29.4    0.9    1.0 -0.0610    0.3   -0.1  -27.3   29.5    1.4   -1.2  -28.9   30.4    0.0    0.0    0.1    0.3    0.3    0.9    0.4
 13DD     MC01 INYO PO24  242.576   36.340   -5.5    5.1    0.8    0.9  0.0370    2.0   -0.9   -7.4    5.9   -0.8    1.0   -5.5    4.1    0.0    0.0   -1.1    0.9    1.4    0.9    1.6
 13DD_GPS CMM3 INYO PO24  242.576   36.340   -6.2    6.5    1.2    1.3 -0.0030    0.3   -0.1   -6.6    6.5   -0.8    1.0   -5.6    4.1    0.0    0.0   -0.2    1.5    1.5    1.3    1.2
 1PDI     MC01 EBNR PO13  243.837   36.690    0.1   -0.3    0.8    0.8  0.0110    1.9   -0.7   -1.8    0.4   -0.4    0.7   -2.7    0.6    0.0    0.0    1.3   -1.0    1.6    0.8    2.1
 1PDI_GPS CMM3 EBNR PO13  243.837   36.690   -1.7    1.0    0.9    0.9 -0.0400    0.3   -0.1   -2.1    1.0   -0.4    0.7   -2.7    0.6    0.0    0.0    1.0   -0.3    1.1    0.9    1.2
 24___EDM CMM3 ANZA PO23  244.694   32.334  -18.1   28.2    1.6    1.9  0.2760    0.3   -0.1  -18.5   28.3    6.6   -4.4  -27.7   29.3    0.4    2.1    2.2    1.3    2.5    1.9    1.3
 25SE_GPS CMM3 SMOJ PO01  244.217   33.441   -9.7    8.3    1.1    1.1 -0.0470    0.3   -0.1  -10.0    8.4   -7.5    8.1    0.0    0.0    0.0    0.0   -2.5    0.3    2.5    1.1    2.3
 29PA_EDM CMM3 SMOJ PO01  244.048   34.059   -2.6    5.8    2.2    2.6 -0.2760    0.3   -0.1   -2.9    5.9   -2.5    3.4    0.0    0.0    0.0    0.0   -0.4    2.4    2.5    2.7    0.9
 2ROC     JF99 WCCR PO17  236.554   39.362    2.2  -19.1    2.5    2.1  0.0168   24.6  -41.7  -22.4   22.6   -2.3    2.2  -14.9   23.0    0.0    0.0   -5.2   -2.6    5.8    2.4    2.4
 3188     MC01 SNEV PO04  241.868   36.466   -7.0    7.6    0.5    0.4  0.0090    1.9   -1.0   -9.0    8.6    2.6    0.4  -11.1    7.0    0.0    0.0   -0.5    1.1    1.2    0.4    2.8
 33JD_GPS CMM3 GVTB PO03  239.535   35.943  -12.5   19.2    0.9    0.9 -0.0580    0.3    0.0  -12.9   19.3   -4.4    9.5  -11.3   10.3    0.9    0.0    1.9   -0.5    2.0    0.9    2.2
 5507     BEAV PACI PO02  166.228  -50.517  -29.2   28.1    0.7    0.6  0.0000   -6.9  -20.2  -22.3   48.3    0.0    0.0  -21.7   47.9    0.0    0.0   -0.6    0.5    0.8    0.7    1.2
 56_Z_GPS CMM3 WBAJ PO18  241.784   33.868  -25.9   29.0    1.2    1.2 -0.0910    0.3    0.0  -26.2   29.1    1.3   -2.4  -28.4   31.0    0.0    0.0    0.8    0.5    0.9    1.1    0.8
 6022_GPS CMM3 VENT PO19  241.298   34.033  -27.7   31.6    1.3    1.4 -0.0670    0.3    0.0  -28.0   31.7    0.7   -0.3  -30.1   31.1    1.5   -0.2   -0.2    1.1    1.1    1.4    0.8
 6052_GPS CMM3 MOJA PO11  243.160   34.516  -14.6   15.5    1.4    1.3 -0.0430    0.3   -0.1  -14.9   15.6   -1.3    1.1   -9.7   12.1   -0.5    0.3   -3.4    2.1    4.0    1.4    2.9
 6056_GPS CMM3 MOJA PO11  243.353   34.370  -10.0   16.8    2.1    2.3 -0.0720    0.3   -0.1  -10.3   16.8   -0.9    1.9   -9.6   12.2   -0.8    0.2    1.0    2.6    2.8    2.2    1.2
 6106_GPS CMM3 ANZA PO23  242.604   34.038  -21.2   23.5    2.3    1.4  0.0220    0.3   -0.1  -21.5   23.6    4.7   -6.7  -26.4   30.7   -0.1   -1.1    0.3    0.7    0.7    1.6    0.5
 67TJ     MC01 EBNR PO13  243.604   36.813   -1.5   -0.1    0.8    0.8 -0.0040    1.9   -0.7   -3.3    0.6   -0.4    0.8   -2.7    0.6    0.0    0.0   -0.2   -0.8    0.8    0.8    1.0
 67TJ     RB03 EBNR PO13  243.604   36.813   -2.2    0.8    1.0    1.0  0.0193    0.2   -0.3   -2.4    1.1   -0.4    0.8   -2.7    0.6    0.0    0.0    0.7   -0.2    0.8    1.0    0.8
*67TJ     WUSC EBNR PO13  243.604   36.813   -2.5    2.4    1.5    1.7 -0.0799    0.7   -0.1   -3.1    2.4   -0.4    0.8   -2.7    0.6    0.0    0.0    0.1    1.0    1.0    1.7    0.6
 6813_GPS CMM3 INYO PO24  242.325   36.150   -9.1    4.9    1.1    1.1 -0.0240    0.3   -0.1   -9.5    4.9   -2.3    2.2   -5.8    4.3    0.0    0.0   -1.4   -1.6    2.1    1.1    1.9
 7000_GPS CMM3 MOJA PO11  243.284   34.676  -10.5    8.7    1.1    1.1 -0.0550    0.3   -0.1  -10.8    8.8   -0.5   -0.5   -9.7   12.1   -0.3    0.8   -0.3   -3.7    3.7    1.0    3.5
